Isolate,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
YO014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YO016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YO033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
YO039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YO043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO077,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YO088,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YO098,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YO111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO134,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
YO142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YO169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YO188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YO189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YO192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YO372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
YO381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
